text,department,priority
خطر حريق قرب الحديقة العامة؛ احتاج المساعدة,public_safety,normal
gas leak smell in the street; please help,public_safety,normal
gas leak smell in the street; please review,public_safety,normal
رائحة تسرب غاز في الشارع؛ يرجى المعالجة,public_safety,normal
رائحة تسرب غاز في الشارع؛ يرجى المراجعة,public_safety,normal
رائحة تسرب غاز في الشارع؛ احتاج المساعدة,public_safety,normal
dangerous open hole without barriers; please help,public_safety,normal
dangerous open hole without barriers; please review,public_safety,normal
حفرة خطرة مفتوحة دون حواجز؛ يرجى المعالجة,public_safety,normal
حفرة خطرة مفتوحة دون حواجز؛ يرجى المراجعة,public_safety,normal
حفرة خطرة مفتوحة دون حواجز؛ احتاج المساعدة,public_safety,normal
fallen tree blocking emergency access; please help,public_safety,normal
fallen tree blocking emergency access; please review,public_safety,normal
شجرة ساقطة تعيق وصول الطوارئ؛ يرجى المعالجة,public_safety,normal
شجرة ساقطة تعيق وصول الطوارئ؛ يرجى المراجعة,public_safety,normal
شجرة ساقطة تعيق وصول الطوارئ؛ احتاج المساعدة,public_safety,normal
explosion sound was heard nearby; please help,public_safety,normal
explosion sound was heard nearby; please review,public_safety,normal
تم سماع صوت انفجار بالقرب من الموقع؛ يرجى المعالجة,public_safety,normal
تم سماع صوت انفجار بالقرب من الموقع؛ يرجى المراجعة,public_safety,normal
تم سماع صوت انفجار بالقرب من الموقع؛ احتاج المساعدة,public_safety,normal
I need a building permit application; please help,permits,normal
I need a building permit application; please review,permits,normal
أحتاج إلى تقديم طلب رخصة بناء؛ يرجى المعالجة,permits,normal
أحتاج إلى تقديم طلب رخصة بناء؛ يرجى المراجعة,permits,normal
أحتاج إلى تقديم طلب رخصة بناء؛ احتاج المساعدة,permits,normal
how can I renew my shop permit; please help,permits,normal
how can I renew my shop permit; please review,permits,normal
كيف أجدد رخصة المحل؛ يرجى المعالجة,permits,normal
كيف أجدد رخصة المحل؛ يرجى المراجعة,permits,normal
كيف أجدد رخصة المحل؛ احتاج المساعدة,permits,normal
permit status has not changed; please help,permits,normal
permit status has not changed; please review,permits,normal
حالة الرخصة لم تتغير؛ يرجى المعالجة,permits,normal
حالة الرخصة لم تتغير؛ يرجى المراجعة,permits,normal
حالة الرخصة لم تتغير؛ احتاج المساعدة,permits,normal
there is a mistake in my permit record; please help,permits,normal
there is a mistake in my permit record; please review,permits,normal
هناك خطأ في بيانات الرخصة؛ يرجى المعالجة,permits,normal
هناك خطأ في بيانات الرخصة؛ يرجى المراجعة,permits,normal
هناك خطأ في بيانات الرخصة؛ احتاج المساعدة,permits,normal
I want to request a temporary event permit; please help,permits,normal
I want to request a temporary event permit; please review,permits,normal
أرغب في طلب رخصة فعالية مؤقتة؛ يرجى المعالجة,permits,normal
أرغب في طلب رخصة فعالية مؤقتة؛ يرجى المراجعة,permits,normal
أرغب في طلب رخصة فعالية مؤقتة؛ احتاج المساعدة,permits,normal
what documents are required for a permit; please help,permits,normal
what documents are required for a permit; please review,permits,normal
ما المستندات المطلوبة للرخصة؛ يرجى المعالجة,permits,normal
ما المستندات المطلوبة للرخصة؛ يرجى المراجعة,permits,normal
ما المستندات المطلوبة للرخصة؛ احتاج المساعدة,permits,normal
fire emergency at the site,public_safety,urgent
حالة حريق طارئة في الموقع,public_safety,urgent
gas leak emergency,public_safety,urgent
حالة تسرب غاز طارئة,public_safety,urgent
smoke and immediate danger,public_safety,urgent
دخان وخطر فوري,public_safety,urgent
explosion and public danger,public_safety,urgent
انفجار وخطر على الناس,public_safety,urgent
power lines are sparking and people are nearby,electricity,urgent
major water leak is flooding the road,water,urgent
garbage fire near houses,waste,urgent
road collapse is blocking traffic,roads,urgent
